36|C1|A ___ tree is a tree-based data structure used for efficient range queries on arrays, constructed by recursively dividing the input array into smaller segments and storing the relevant information at each node.|a. segment|b. quad|c. suffix|d. kd|a
37|C1|A ___ array is a data structure that stores all the suffixes of a string in sorted order, useful for tasks like pattern matching and text compression.|a. prefix|b. suffix|c. substring|d. subarray|b
38|C2|Dynamic programming solves complex problems by breaking them down into smaller ___ and reusing the solutions to those subproblems.|a. subroutines|b. subtasks|c. subsets|d. subproblems|d
39|C1|A ___ heap is a priority queue data structure that provides efficient implementations of the insert and decrease-key operations, with amortized time complexities of O(1) and O(log n), respectively.|a. Fibonacci|b. Binomial|c. Leftist|d. Pairing|a
40|C1|A ___ filter is a probabilistic data structure used to test whether an element is a member of a set, by using multiple hash functions to map an element to positions in a bit array.|a. bloom|b. cuckoo|c. hash|d. trie|a
41|C1|The time complexities of common operations in a hash table are: accessing an element (O(1) on average), inserting an element (O(1) on average), and deleting an element (O(1) on average). Please choose a. True b. False|a. True|b. False|a
42|C1|A ___ window data structure maintains a fixed-size window over a larger data structure, such as an array or a queue, and supports efficient updates and queries within the window.|a. sliding|b. circular|c. fixed-size|d. dynamic|a
43|C1|A ___ tree is a space-partitioning data structure used for organizing points in a k-dimensional space, useful for efficient nearest neighbor search and range search.|a. kd|b. quadtree|c. octree|d. bintree|a
44|C2|Memoization is an optimization technique used in dynamic programming to store the results of expensive function calls and return the cached result when the same inputs occur again, improving the efficiency of the algorithm. Please choose a. True b. False|a. True|b. False|a
45|C1|A ___ List is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n), by creating multiple layers of linked lists.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
46|C1|A ___ tree is a tree-based data structure used for partitioning two-dimensional space by recursively subdividing it into four quadrants or regions, useful for spatial queries and operations.|a. kd|b. quadtree|c. octree|d. bintree|b
47|C1|The time complexities of common operations in a Trie data structure are: inserting a word (O(k)), searching for a word (O(k)), and finding all words with a given prefix (O(k + output size)), where k is the length of the word or prefix. Please choose a. True b. False|a. True|b. False|a
48|C1|A ___ Tree, also known as a Binary Indexed Tree (BIT), is a data structure that efficiently computes prefix sums in an array, allowing for fast range queries and updates.|a. Fenwick|b. Segment|c. Interval|d. Suffix|a
49|C1|The main advantage of a ___ List over a standard linked list is its ability to provide logarithmic-time access to elements, without the need for a balanced tree structure.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
50|C1|The purpose of a ___ is to partition two-dimensional space by recursively subdividing it into four quadrants or regions, useful for applications that involve spatial data.|a. kd-tree|b. quadtree|c. octree|d. bintree|b
51|C2|The time complexity of the binary search algorithm is?|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|b
52|C1|The main difference between a singly linked list and a doubly linked list is that a doubly linked list uses ___ pointers per node.|a. one|b. two|c. three|d. four|b
53|C1|The purpose of a queue data structure is to provide a ___ storage and retrieval mechanism.|a. Last-In-First-Out (LIFO)|b. First-In-First-Out (FIFO)|c. Random access|d. Constant-time|b
54|C1|In a min-heap, the root node contains the ___ value, and the child nodes are ___ than their parent.|a. smallest, smaller|b. smallest, larger|c. largest, smaller|d. largest, larger|b
55|C2|The merge sort algorithm works by recursively dividing the input array into ___ subarrays, sorting them, and then ___ them back together.|a. larger, merging|b. smaller, merging|c. larger, splitting|d. smaller, splitting|b
56|C1|To implement a queue using two stacks, you can use one stack for ___ operations and transfer elements to the other stack when ___ .|a. enqueue, dequeue|b. push, pop|c. front, rear|d. insert, delete|a
57|C2|Breadth-First Search (BFS) explores all the neighbors at the ___ depth level before moving on to the neighbors at the ___ depth level.|a. current, next|b. next, current|c. minimum, maximum|d. first, last|a
58|C2|The time complexity of inserting a new node into a binary search tree is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|b
59|C1|Hash tables provide ___ average-case performance for basic operations like insertion, deletion, and lookup.|a. logarithmic|b. linear|c. quadratic|d. constant|d
60|C2|In dynamic programming, complex problems are solved by breaking them down into ___ subproblems and ___ the solutions to those subproblems.|a. smaller, reusing|b. larger, discarding|c. constant, combining|d. linear, optimizing|a
61|C1|A doubly linked list node has ___ pointers: one pointing to the next node and one pointing to the previous node.|a. one|b. two|c. three|d. four|b
62|C2|The average-case time complexity of the quicksort algorithm is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|d
63|C1|A priority queue stores elements with associated ___ and allows for efficient retrieval of the element with the ___ priority.|a. indices, highest|b. keys, highest|c. priorities, highest|d. values, lowest|c
64|C3|Time complexity measures the ___ an algorithm takes to run, while space complexity measures the ___ an algorithm uses.|a. time, memory|b. space, time|c. operations, memory|d. memory, operations|a
65|C1|The purpose of a trie data structure is to efficiently store and retrieve ___ .|a. integers|b. floating-point numbers|c. strings|d. arrays|c
66|C1|An ___ matrix represents a graph by indicating whether there is an edge between each pair of vertices.|a. adjacency|b. incidence|c. distance|d. weight|a
67|C2|Dijkstra's algorithm is used to find the ___ path between a starting vertex and all other vertices in a weighted graph.|a. longest|b. shortest|c. most efficient|d. fastest|b
68|C3|The main differences between a min-heap and a binary search tree are the ___ they maintain and the ___ they use.|a. search property, data structure|b. minimum value, maximum value|c. insertion order, deletion order|d. height, depth|a
69|C3|Amortized analysis is a technique used to analyze the ___ time complexity of a sequence of operations, rather than the ___ time complexity of individual operations.|a. average-case, worst-case|b. worst-case, average-case|c. best-case, average-case|d. constant, logarithmic|a
70|C1|A ___ set, also known as a union-find data structure, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. disjoint|b. connected|c. ordered|d. unordered|a
71|C1|A ___ list is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n).|a. linked|b. binary search|c. skip|d. doubly linked|c
72|C1|In a singly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the nth element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(n)|b
73|C1|In a max-heap, the root node contains the ___ value, and the child nodes are ___ than their parent.|a. smallest, smaller|b. smallest, larger|c. largest, smaller|d. largest, larger|d
74|C2|Topological sorting is a linear ordering of the vertices in a ___ graph.|a. directed acyclic|b. undirected|c. weighted|d. bipartite|a
75|C1|A ___ buffer, also known as a ring buffer, is a data structure that uses a fixed-size array to store elements and maintains two pointers, one for the head and one for the tail.|a. circular|b. dynamic|c. fixed-size|d. sliding|a
76|C1|The purpose of a ___ tree is to enable efficient range queries on arrays, allowing for quick lookups of the minimum, maximum, or sum of all the elements in a given range.|a. binary search|b. segment|c. quadtree|d. suffix|b
77|C1|In a doubly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the first element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(1)|c
78|C1|To implement an LRU (Least Recently Used) cache, you can use a combination of a ___ and a ___ .|a. hash table, array|b. binary search tree, linked list|c. hash table, doubly linked list|d. stack, queue|c
79|C3|A trie data structure is used to efficiently store and retrieve ___, while a binary search tree is used to efficiently store and retrieve ___ .|a. strings, integers|b. integers, strings|c. arrays, linked lists|d. linked lists, arrays|a
80|C3|Amortized time complexity is a way to analyze the ___ performance of a sequence of operations, rather than the ___ performance of individual operations.|a. worst-case, average-case|b. average-case, worst-case|c. best-case, average-case|d. constant, logarithmic|b
81|C1|A ___ data structure, also known as a disjoint-set, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. union-find|b. binary search tree|c. hash table|d. trie|a
82|C1|A ___ tree is a self-balancing binary search tree that ensures the length of the longest path from the root to a leaf is no more than twice the length of the shortest path.|a. red-black|b. AVL|c. splay|d. treap|a
83|C1|The time complexities of common operations in a binary search tree are: accessing the nth element (O(log n)), inserting a new element (O(log n)), and finding the minimum/maximum element (O(log n)). Please choose a. True b. False|a. True|b. False|a
84|C1|A ___ tree is a tree-based data structure used for efficient range queries on arrays, constructed by recursively dividing the input array into smaller segments and storing the relevant information at each node.|a. segment|b. quad|c. suffix|d. kd|a
85|C1|A ___ array is a data structure that stores all the suffixes of a string in sorted order, useful for tasks like pattern matching and text compression.|a. prefix|b. suffix|c. substring|d. subarray|b
86|C2|Dynamic programming solves complex problems by breaking them down into smaller ___ and reusing the solutions to those subproblems.|a. subroutines|b. subtasks|c. subsets|d. subproblems|d
87|C1|A ___ heap is a priority queue data structure that provides efficient implementations of the insert and decrease-key operations, with amortized time complexities of O(1) and O(log n), respectively.|a. Fibonacci|b. Binomial|c. Leftist|d. Pairing|a
88|C1|A ___ filter is a probabilistic data structure used to test whether an element is a member of a set, by using multiple hash functions to map an element to positions in a bit array.|a. bloom|b. cuckoo|c. hash|d. trie|a
89|C1|The time complexities of common operations in a hash table are: accessing an element (O(1) on average), inserting an element (O(1) on average), and deleting an element (O(1) on average). Please choose a. True b. False|a. True|b. False|a
90|C1|A ___ window data structure maintains a fixed-size window over a larger data structure, such as an array or a queue, and supports efficient updates and queries within the window.|a. sliding|b. circular|c. fixed-size|d. dynamic|a
91|C1|A ___ tree is a space-partitioning data structure used for organizing points in a k-dimensional space, useful for efficient nearest neighbor search and range search.|a. kd|b. quadtree|c. octree|d. bintree|a
92|C2|Memoization is an optimization technique used in dynamic programming to store the results of expensive function calls and return the cached result when the same inputs occur again, improving the efficiency of the algorithm. Please choose a. True b. False|a. True|b. False|a
93|C1|A ___ List is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n), by creating multiple layers of linked lists.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
94|C1|A ___ tree is a tree-based data structure used for partitioning two-dimensional space by recursively subdividing it into four quadrants or regions, useful for spatial queries and operations.|a. kd|b. quadtree|c. octree|d. bintree|b
95|C1|The time complexities of common operations in a Trie data structure are: inserting a word (O(k)), searching for a word (O(k)), and finding all words with a given prefix (O(k + output size)), where k is the length of the word or prefix. Please choose a. True b. False|a. True|b. False|a
96|C1|A ___ Tree, also known as a Binary Indexed Tree (BIT), is a data structure that efficiently computes prefix sums in an array, allowing for fast range queries and updates.|a. Fenwick|b. Segment|c. Interval|d. Suffix|a
97|C1|The main advantage of a ___ List over a standard linked list is its ability to provide logarithmic-time access to elements, without the need for a balanced tree structure.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
98|C1|The purpose of a ___ is to partition two-dimensional space by recursively subdividing it into four quadrants or regions, useful for applications that involve spatial data.|a. kd-tree|b. quadtree|c. octree|d. bintree|b
99|C2|The time complexity of the depth-first search (DFS) algorithm on a graph is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n + m)|d
100|C1|The main difference between an array and a linked list is that arrays have ___ access to any element, while linked lists have ___ access.|a. constant-time, constant-time|b. constant-time, linear-time|c. linear-time, constant-time|d. linear-time, linear-time|b
101|C1|The purpose of a stack data structure is to provide a ___ storage and retrieval mechanism.|a. First-In-First-Out (FIFO)|b. Last-In-First-Out (LIFO)|c. Random access|d. Constant-time|b
102|C1|In a binary search tree, the left subtree of a node contains values that are ___ than the node's value, and the right subtree contains values that are ___ than the node's value.|a. smaller, larger|b. larger, smaller|c. equal, different|d. odd, even|a
103|C2|Recursion is a problem-solving technique where a function ___ itself to solve a smaller instance of the same problem.|a. loops|b. iterates|c. compares|d. calls|d
104|C1|The main difference between a min-heap and a max-heap is the ___ of the elements.|a. size|b. ordering|c. height|d. depth|b
105|C2|The time complexity of the merge sort algorithm is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|d
106|C1|To implement a queue using two stacks, you can use one stack for ___ operations and the other stack for ___ operations.|a. enqueue, dequeue|b. push, pop|c. front, rear|d. insert, delete|a
107|C2|Breadth-First Search (BFS) explores all the neighbors at the ___ depth level before moving on to the neighbors at the ___ depth level.|a. current, next|b. next, current|c. minimum, maximum|d. first, last|a
108|C2|The time complexity of inserting a new node into a binary search tree is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|b
109|C1|Hash tables provide ___ average-case performance for basic operations like insertion, deletion, and lookup.|a. logarithmic|b. linear|c. quadratic|d. constant|d
110|C2|In dynamic programming, complex problems are solved by breaking them down into ___ subproblems and ___ the solutions to those subproblems.|a. smaller, reusing|b. larger, discarding|c. constant, combining|d. linear, optimizing|a
111|C1|A doubly linked list node has ___ pointers: one pointing to the next node and one pointing to the previous node.|a. one|b. two|c. three|d. four|b
112|C2|The average-case time complexity of the quicksort algorithm is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|d
113|C1|A priority queue stores elements with associated ___ and allows for efficient retrieval of the element with the ___ priority.|a. indices, highest|b. keys, highest|c. priorities, highest|d. values, lowest|c
114|C3|Time complexity measures the ___ an algorithm takes to run, while space complexity measures the ___ an algorithm uses.|a. time, memory|b. space, time|c. operations, memory|d. memory, operations|a
115|C1|The purpose of a trie data structure is to efficiently store and retrieve ___ .|a. integers|b. floating-point numbers|c. strings|d. arrays|c
116|C1|An ___ matrix represents a graph by indicating whether there is an edge between each pair of vertices.|a. adjacency|b. incidence|c. distance|d. weight|a
117|C2|Dijkstra's algorithm is used to find the ___ path between a starting vertex and all other vertices in a weighted graph.|a. longest|b. shortest|c. most efficient|d. fastest|b
118|C3|The main differences between a min-heap and a binary search tree are the ___ they maintain and the ___ they use.|a. search property, data structure|b. minimum value, maximum value|c. insertion order, deletion order|d. height, depth|a
119|C3|Amortized analysis is a technique used to analyze the ___ time complexity of a sequence of operations, rather than the ___ time complexity of individual operations.|a. average-case, worst-case|b. worst-case, average-case|c. best-case, average-case|d. constant, logarithmic|a
120|C1|A ___ set, also known as a union-find data structure, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. disjoint|b. connected|c. ordered|d. unordered|a
121|C1|A ___ list is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n).|a. linked|b. binary search|c. skip|d. doubly linked|c
122|C1|In a singly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the nth element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(n)|b
123|C1|In a max-heap, the root node contains the ___ value, and the child nodes are ___ than their parent.|a. smallest, smaller|b. smallest, larger|c. largest, smaller|d. largest, larger|d
124|C2|Topological sorting is a linear ordering of the vertices in a ___ graph.|a. directed acyclic|b. undirected|c. weighted|d. bipartite|a
125|C1|A ___ buffer, also known as a ring buffer, is a data structure that uses a fixed-size array to store elements and maintains two pointers, one for the head and one for the tail.|a. circular|b. dynamic|c. fixed-size|d. sliding|a
126|C1|The purpose of a ___ tree is to enable efficient range queries on arrays, allowing for quick lookups of the minimum, maximum, or sum of all the elements in a given range.|a. binary search|b. segment|c. quadtree|d. suffix|b
127|C1|In a doubly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the first element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(1)|c
128|C1|To implement an LRU (Least Recently Used) cache, you can use a combination of a ___ and a ___ .|a. hash table, array|b. binary search tree, linked list|c. hash table, doubly linked list|d. stack, queue|c
129|C3|A trie data structure is used to efficiently store and retrieve ___, while a binary search tree is used to efficiently store and retrieve ___ .|a. strings, integers|b. integers, strings|c. arrays, linked lists|d. linked lists, arrays|a
130|C3|Amortized time complexity is a way to analyze the ___ performance of a sequence of operations, rather than the ___ performance of individual operations.|a. worst-case, average-case|b. average-case, worst-case|c. best-case, average-case|d. constant, logarithmic|b
131|C1|A ___ data structure, also known as a disjoint-set, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. union-find|b. binary search tree|c. hash table|d. trie|a
132|C1|A ___ tree is a self-balancing binary search tree that ensures the length of the longest path from the root to a leaf is no more than twice the length of the shortest path.|a. red-black|b. AVL|c. splay|d. treap|a
133|C1|The time complexities of common operations in a binary search tree are: accessing the nth element (O(log n)), inserting a new element (O(log n)), and finding the minimum/maximum element (O(log n)). Please choose a. True b. False|a. True|b. False|a
134|C1|A ___ tree is a tree-based data structure used for efficient range queries on arrays, constructed by recursively dividing the input array into smaller segments and storing the relevant information at each node.|a. segment|b. quad|c. suffix|d. kd|a
135|C1|A ___ array is a data structure that stores all the suffixes of a string in sorted order, useful for tasks like pattern matching and text compression.|a. prefix|b. suffix|c. substring|d. subarray|b
136|C2|Dynamic programming solves complex problems by breaking them down into smaller ___ and reusing the solutions to those subproblems.|a. subroutines|b. subtasks|c. subsets|d. subproblems|d
137|C1|A ___ heap is a priority queue data structure that provides efficient implementations of the insert and decrease-key operations, with amortized time complexities of O(1) and O(log n), respectively.|a. Fibonacci|b. Binomial|c. Leftist|d. Pairing|a
138|C1|A ___ filter is a probabilistic data structure used to test whether an element is a member of a set, by using multiple hash functions to map an element to positions in a bit array.|a. bloom|b. cuckoo|c. hash|d. trie|a
139|C1|The time complexities of common operations in a hash table are: accessing an element (O(1) on average), inserting an element (O(1) on average), and deleting an element (O(1) on average). Please choose a. True b. False|a. True|b. False|a
140|C1|A ___ window data structure maintains a fixed-size window over a larger data structure, such as an array or a queue, and supports efficient updates and queries within the window.|a. sliding|b. circular|c. fixed-size|d. dynamic|a
141|C1|A ___ tree is a space-partitioning data structure used for organizing points in a k-dimensional space, useful for efficient nearest neighbor search and range search.|a. kd|b. quadtree|c. octree|d. bintree|a
142|C2|Memoization is an optimization technique used in dynamic programming to store the results of expensive function calls and return the cached result when the same inputs occur again, improving the efficiency of the algorithm. Please choose a. True b. False|a. True|b. False|a
143|C1|A ___ List is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n), by creating multiple layers of linked lists.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
144|C1|A ___ tree is a tree-based data structure used for partitioning two-dimensional space by recursively subdividing it into four quadrants or regions, useful for spatial queries and operations.|a. kd|b. quadtree|c. octree|d. bintree|b
145|C1|The time complexities of common operations in a Trie data structure are: inserting a word (O(k)), searching for a word (O(k)), and finding all words with a given prefix (O(k + output size)), where k is the length of the word or prefix. Please choose a. True b. False|a. True|b. False|a
146|C1|A ___ Tree, also known as a Binary Indexed Tree (BIT), is a data structure that efficiently computes prefix sums in an array, allowing for fast range queries and updates.|a. Fenwick|b. Segment|c. Interval|d. Suffix|a
147|C1|The main advantage of a ___ List over a standard linked list is its ability to provide logarithmic-time access to elements, without the need for a balanced tree structure.|a. Linked|b. Binary Search|c. Skip|d. Doubly Linked|c
148|C1|The purpose of a ___ is to partition two-dimensional space by recursively subdividing it into four quadrants or regions, useful for applications that involve spatial data.|a. kd-tree|b. quadtree|c. octree|d. bintree|b
149|C2|The time complexity of the breadth-first search (BFS) algorithm on a graph is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n + m)|d
150|C3|The main difference between an array and a linked list is that arrays have ___ access to any element, while linked lists have ___ access.|a. constant-time, constant-time|b. constant-time, linear-time|c. linear-time, constant-time|d. linear-time, linear-time|b
151|C1|Which of the following are basic operations supported by a stack?|a. Push|b. Pop|c. Enqueue|d. Dequeue|a,b
152|C1|Which data structures follow the FIFO (First-In-First-Out) principle?|a. Stack|b. Queue|c. Priority Queue|d. Circular Queue|b,d
153|C1|What are the advantages of using a linked list over an array?|a. Dynamic size|b. Efficient insertion and deletion|c. Random access|d. Cache-friendly|a,b
154|C2|Which of the following sorting algorithms have an average-case time complexity of O(n log n)?|a. Bubble Sort|b. Selection Sort|c. Merge Sort|d. Quick Sort|c,d
155|C1|In a binary search tree, which of the following statements are true?|a. The left subtree of a node contains values less than the node's value|b. The right subtree of a node contains values greater than the node's value|c. Duplicate values are not allowed|d. The tree is always balanced|a,b,c
156|C2|Which of the following are not stable sorting algorithms?|a. Bubble Sort|b. Selection Sort|c. Quick Sort|d. Heap Sort|c,d
157|C2|Which traversal methods can be used to visit all nodes in a binary tree?|a. Preorder|b. Inorder|c. Postorder|d. Level-order|a,b,c
158|C2|Which of the following are examples of divide-and-conquer algorithms?|a. Merge Sort|b. Quick Sort|c. Binary Search|d. Breadth-First Search|a,b
159|C1|What are the advantages of using a hash table?|a. Constant-time average-case complexity for search, insert, and delete operations|b. No need for a hash function|c. Efficient memory usage|d. Ability to maintain sorted order|a,c
160|C2|Which of the following are examples of graph traversal algorithms?|a. Depth-First Search (DFS)|b. Breadth-First Search (BFS)|c. Dijkstra's Algorithm|d. Bellman-Ford Algorithm|a,b
161|C2|What are the properties of a minimum spanning tree?|a. It connects all vertices in the graph|b. It has the minimum total edge weight|c. It is always unique|d. It can contain cycles|a,b
162|C2|Which of the following are examples of greedy algorithms?|a. Dijkstra's Algorithm for shortest paths|b. Kruskal's Algorithm for minimum spanning trees|c. Huffman Coding for data compression|d. Knapsack Problem|a,c
163|C1|What are the advantages of using a heap data structure?|a. Efficient insertion and deletion of elements|b. Constant-time access to the minimum or maximum element|c. Maintaining a sorted order of elements|d. Efficient search operations|a,b
164|C2|Which of the following are examples of dynamic programming problems?|a. Fibonacci Sequence|b. Longest Common Subsequence|c. Knapsack Problem|d. Traveling Salesman Problem|b,c
165|C1|What are the advantages of using a trie data structure?|a. Efficient prefix matching|b. Efficient memory usage for storing strings with shared prefixes|c. Constant-time search complexity|d. Ability to store non-string data|a,b,c
166|C2|Which of the following are examples of backtracking algorithms?|a. N-Queens Problem|b. Sudoku Solver|c. Hamiltonian Cycle|d. Subset Sum Problem|a,d
167|C1|What are the properties of a red-black tree?|a. It is a self-balancing binary search tree|b. Each node is either red or black|c. The root node is always black|d. All leaves (NIL nodes) are black|b,c,d
168|C2|Which of the following are examples of cache optimization techniques?|a. Locality of reference|b. Data compression|c. Memoization|d. Loop unrolling|a,d
169|C1|What are the advantages of using a bloom filter?|a. Space-efficient probabilistic data structure|b. Constant-time insertion and lookup operations|c. No false negatives|d. Ability to store large amounts of data|a,b
170|C2|Which of the following are examples of string matching algorithms?|a. Brute-force algorithm|b. Knuth-Morris-Pratt (KMP) algorithm|c. Rabin-Karp algorithm|d. Finite Automata|b,c
171|C1|What are the properties of a B-tree?|a. It is a self-balancing tree|b. It maintains sorted data|c. It is optimized for disk access|d. It has a variable number of children per node|a,c,d
